Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,X3PointShots,X3PointShotsAttempted,X3PointShotsPCT,FreeThrows,FreeThrowsAttempted,FreeThrowsPCT,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoals,OppFieldGoalsAttempted,OppFieldGoalsPCT,Opp3PointShots,Opp3PointShotsAttempted,Opp3PointShotsPCT,OppFreeThrows,OppFreeThrowsAttempted,OppFreeThrowsPCT,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
CLE,75,3/31/2016,Home,BRK,W,107,87,38,87,0.437,12,38,0.316,19,24,0.792,9,50,29,10,7,17,17,35,94,0.372,4,21,0.19,13,21,0.619,13,55,26,12,4,17,19
CLE,76,4/1/2016,Away,ATL,W,110,108,39,98,0.398,12,38,0.316,20,31,0.645,11,57,27,9,6,12,23,38,95,0.4,9,30,0.3,23,26,0.885,5,48,25,5,8,15,27
CLE,77,4/3/2016,Home,CHO,W,112,103,45,83,0.542,16,29,0.552,6,13,0.462,15,46,34,7,1,17,19,34,76,0.447,9,26,0.346,26,27,0.963,11,35,23,15,4,15,13
CLE,78,4/5/2016,Away,MIL,W,109,80,41,75,0.547,18,36,0.5,9,10,0.9,2,41,30,4,8,16,14,35,88,0.398,4,16,0.25,6,12,0.5,12,41,20,7,1,10,14
CLE,79,4/6/2016,Away,IND,L,109,123,35,74,0.473,8,29,0.276,31,34,0.912,7,33,15,7,3,10,19,45,80,0.563,16,31,0.516,17,22,0.773,9,38,25,9,1,14,24
CLE,80,4/9/2016,Away,CHI,L,102,105,36,83,0.434,19,40,0.475,11,18,0.611,12,42,24,5,5,15,18,40,89,0.449,8,24,0.333,17,21,0.81,13,45,19,8,6,12,22
CLE,81,4/11/2016,Home,ATL,W,109,94,40,83,0.482,11,29,0.379,18,20,0.9,9,47,17,9,4,15,14,39,87,0.448,8,30,0.267,8,15,0.533,10,42,23,8,6,15,18
CLE,82,4/13/2016,Home,DET,L,110,112,46,97,0.474,7,18,0.389,11,15,0.733,8,43,21,4,7,10,23,37,85,0.435,16,33,0.485,22,28,0.786,9,47,24,5,11,12,15
GSW,1,10/27/2015,Home,NOP,W,111,95,41,96,0.427,9,30,0.3,20,22,0.909,21,56,29,8,7,20,29,35,83,0.422,6,18,0.333,19,27,0.704,8,33,21,9,3,18,26
GSW,2,10/30/2015,Away,HOU,W,112,92,43,93,0.462,9,26,0.346,17,25,0.68,11,47,26,9,4,8,24,30,82,0.366,5,23,0.217,27,36,0.75,12,49,19,3,9,16,20
GSW,3,10/31/2015,Away,NOP,W,134,120,46,84,0.548,17,30,0.567,25,35,0.714,3,38,26,10,4,10,24,46,100,0.46,8,22,0.364,20,23,0.87,16,48,22,4,4,15,23
GSW,4,11/2/2015,Home,MEM,W,119,69,43,84,0.512,11,25,0.44,22,30,0.733,10,65,32,8,13,14,15,26,96,0.271,3,23,0.13,14,20,0.7,11,44,21,8,7,11,24
GSW,5,11/4/2015,Home,LAC,W,112,108,39,85,0.459,10,26,0.385,24,31,0.774,9,42,28,6,5,12,22,43,88,0.489,8,22,0.364,14,22,0.636,10,41,24,6,4,11,26
