Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,X3PointShots,X3PointShotsAttempted,X3PointShotsPCT,FreeThrows,FreeThrowsAttempted,FreeThrowsPCT,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoals,OppFieldGoalsAttempted,OppFieldGoalsPCT,Opp3PointShots,Opp3PointShotsAttempted,Opp3PointShotsPCT,OppFreeThrows,OppFreeThrowsAttempted,OppFreeThrowsPCT,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
GSW,62,3/7/2016,Home,ORL,W,119,113,42,84,0.5,16,35,0.457,19,27,0.704,10,50,27,13,7,24,26,40,90,0.444,5,21,0.238,28,34,0.824,9,42,24,14,3,15,21
GSW,63,3/9/2016,Home,UTA,W,115,94,48,84,0.571,13,30,0.433,6,10,0.6,9,39,36,10,7,15,23,32,79,0.405,8,20,0.4,22,31,0.71,14,42,21,9,4,18,16
GSW,64,3/11/2016,Home,POR,W,128,112,40,89,0.449,18,40,0.45,30,39,0.769,16,56,23,5,6,8,20,37,86,0.43,19,36,0.528,19,23,0.826,7,39,20,4,4,8,23
GSW,65,3/12/2016,Home,PHO,W,123,116,42,84,0.5,11,33,0.333,28,33,0.848,7,42,28,6,9,8,25,45,92,0.489,11,29,0.379,15,20,0.75,9,47,29,3,3,12,30
GSW,66,3/14/2016,Home,NOP,W,125,107,47,81,0.58,12,25,0.48,19,23,0.826,8,46,30,6,6,18,22,35,93,0.376,7,25,0.28,30,34,0.882,17,40,18,14,3,8,19
GSW,67,3/16/2016,Home,NYK,W,121,85,46,91,0.505,18,37,0.486,11,12,0.917,12,54,32,4,8,12,13,36,91,0.396,7,19,0.368,6,10,0.6,11,38,29,7,3,9,11
GSW,68,3/18/2016,Away,DAL,W,130,112,48,95,0.505,22,38,0.579,12,14,0.857,5,42,35,8,7,12,21,41,93,0.441,9,29,0.31,21,22,0.955,11,46,25,4,8,12,15
GSW,69,3/19/2016,Away,SAS,L,79,87,31,82,0.378,9,36,0.25,8,10,0.8,7,37,24,12,3,10,21,32,78,0.41,8,21,0.381,15,18,0.833,14,53,17,4,6,17,19
GSW,70,3/21/2016,Away,MIN,W,109,104,43,87,0.494,8,24,0.333,15,24,0.625,13,44,31,13,10,16,20,36,82,0.439,7,19,0.368,25,30,0.833,10,37,26,8,5,15,20
GSW,71,3/23/2016,Home,LAC,W,114,98,39,87,0.448,15,34,0.441,21,28,0.75,11,50,23,9,5,12,20,36,85,0.424,8,28,0.286,18,27,0.667,8,46,21,8,7,10,22
GSW,72,3/25/2016,Home,DAL,W,128,120,43,88,0.489,21,45,0.467,21,23,0.913,7,40,30,8,10,7,16,43,96,0.448,18,35,0.514,16,21,0.762,15,51,31,3,6,11,19
GSW,73,3/27/2016,Home,PHI,W,117,105,44,83,0.53,14,33,0.424,15,20,0.75,7,44,32,9,4,18,15,42,90,0.467,10,30,0.333,11,12,0.917,9,37,27,10,3,12,20
GSW,74,3/29/2016,Home,WAS,W,102,94,38,87,0.437,11,25,0.44,15,23,0.652,7,55,27,11,6,16,23,36,86,0.419,5,23,0.217,17,27,0.63,7,48,26,6,7,17,19
GSW,75,3/30/2016,Away,UTA,W,103,96,39,89,0.438,12,35,0.343,13,18,0.722,9,46,19,6,6,18,21,37,92,0.402,9,32,0.281,13,29,0.448,16,54,14,11,2,15,23
GSW,76,4/1/2016,Home,BOS,L,106,109,38,83,0.458,20,43,0.465,10,13,0.769,8,41,25,12,7,22,24,41,87,0.471,8,23,0.348,19,30,0.633,11,44,28,10,1,14,14
GSW,77,4/3/2016,Home,POR,W,136,111,50,88,0.568,18,30,0.6,18,22,0.818,11,43,30,5,8,12,23,38,85,0.447,9,24,0.375,26,33,0.788,11,37,23,8,4,13,16
GSW,78,4/5/2016,Home,MIN,L,117,124,49,98,0.5,12,35,0.343,7,8,0.875,9,46,35,9,5,23,29,44,86,0.512,8,17,0.471,28,36,0.778,6,40,30,14,6,17,15
GSW,79,4/7/2016,Home,SAS,W,112,101,45,83,0.542,12,25,0.48,10,11,0.909,7,43,33,8,2,15,22,39,80,0.488,7,16,0.438,16,23,0.696,5,32,28,10,2,12,11
GSW,80,4/9/2016,Away,MEM,W,100,99,39,87,0.448,10,36,0.278,12,13,0.923,7,48,20,3,7,11,14,37,96,0.385,7,21,0.333,18,20,0.9,17,54,19,8,4,6,16
GSW,81,4/10/2016,Away,SAS,W,92,86,34,77,0.442,10,27,0.37,14,18,0.778,7,46,19,7,6,13,18,34,90,0.378,3,17,0.176,15,19,0.789,18,53,21,10,5,11,18
GSW,82,4/13/2016,Home,MEM,W,125,104,46,87,0.529,20,47,0.426,13,16,0.813,12,51,35,7,7,17,14,42,98,0.429,8,24,0.333,12,16,0.75,13,40,25,12,1,13,18
